"Unsere Gastronomiemitglieder haben mit uns eine schriftliche Vereinbarung, wonach sie die Grundregeln der glutenfreien Ernährung in Restaurationsbetrieben 
einhalten, ihr Personal entsprechend schulen und für ihren Betrieb die Risikoherde analysiert haben.

Die IG Zöliakie kann aber keine Haftung für die Einhaltung dieser Regeln übernehmen, die Betriebe unterstehen jedoch dem Lebensmittel- und Hygienegesetz 
und werden zudem von den kantonalen Labors kontrolliert. 
Grundsätzlich empfiehlt sich immer eine Reservation und Erwähnung der Zöliakie bereits im Voraus.Wir wünschen Ihnen unbeschwerte, köstliche kulinarische 
Erlebnisse und freuen uns über persönliche Rückmeldungen zu Ihren Restauranterlebnissen.

Barbara Jenzer
Vorstand Ressort Gastronomie",,,,,,
8001,Restaurant Au Gratin,"Bahnhofplatz 2
8001 Zürich",www.augratin.ch,"044 221 38 00 
info@newszh.ch","Unsere glutenfreien Gerichte sind auf der Speisekarte
gekennzeichnet. Sie brauchen keine Spezialkarte zu
verlangen. Auf unserer Homepage www.augratin.ch können
Sie die Gerichte anschauen. Dabei sehen Sie, dass wir eine
grosse Auswahl an glutenfreien Gerichten anbieten.",
8001,Haus Hiltl,"Sihlstrasse 28
8001 Zürich",www.hiltl.ch,"044 227 70 00
info@hiltl.ch","Hiltl, das bekannteste vegetarische Restaurant der Schweiz:
Ob à la carte Gerichte oder Buffet, alle Speisen sind präzise
deklariert und auf der Karte entsprechend gekennzeichnet.
Glutenfreies Brot ist vorrätig.",
8001,"Kunsthausrestaurant
(Remimag AG)","Heimplatz 1
8001 Zürich",www.kunsthausrestaurant.ch,"044 251 53 53
kunsthausrestaurant@
remimag.ch","Genauso kunterbunt wie die Kunst im nahegelegenen
Kunsthaus, zeigt sich auch die Gästeschar im Restaurant und
das Speiseangebot der Küche. Geprägt wird das alles von
einer gelungenen Symbiose zwischen traditionellen und
mediterranen Einflüssen. Das Speiseangebot umfasst mittags
und abends während den Servicezeiten immer glutenfreie
Produkte, unabhängig ob Suppe, Vorspeise oder Hauptgang.
Die glutenfreie Pasta kann ganztags bestellt werden und ist
über den hauseigenen Mercato auch für daheim erhältlich.",
8001,"Hitzberger Fastfood natürlich
Hauptbahnhof Zürich",Take Away Passage Bahnhofstrasse Zürich Shop-Ville Zürich Hauptbahnhof,www.hitzberger.ch,"044 212 37 20 

","Das Schnellverpflegungskonzept Hitzberger – Fastfood
natürlich bietet an folgenden Standorten ein Sortiment an
glutenfreien Salaten, Curries, Suppen, Smoothies und Säften
sowie Desserts (die glutenfreien Angebote sind entsprechend gekennzeichnet).",
8005,SamSeS Vegetarisches Restaurant,"Langstrasse 231
8005 Zürich",www.samses.ch,044 440 13 13,"Bei uns geniessen Sie gefüllte Ravioli, Gnocchi, Brot, verschiedene Gerichte am Buffet, Salate, Vorspeisen, Hauptgerichte.
Als Dessert bieten wir Schokoladen Kuchen, Eis, Panna Cotta, Mousse, Cheescake.",
